티커,현재가,RSI,MFI,CCI,"추정수급(5일,만주)",거래량비율(5일평균대비),당일거래대금(억),이평선추세,MACD에너지,ADX(추세강도),종합점수
024840,5830,47.76,53.35,13.14,1572.7,243.78,699.14,정배열,하락추세,49.67,48.54
086280,221000,45.75,54.07,18.73,112.9,21.37,116.56,하락/역배열,골든크로스(0이하),29.93,48.5
329180,723000,45.93,35.14,95.34,152.6,52.77,1164.67,정배열,상승(0이상),16.52,48.37
017670,98900,49.53,72.97,-70.0,-106.1,21.48,285.17,하락/역배열,하락추세,84.88,48.33
001120,40150,39.86,68.31,-12.09,198.9,14.84,25.2,하락/역배열,골든크로스(0이하),42.96,48.28
071970,77300,50.61,38.28,65.98,50.3,84.31,113.76,하락/역배열,골든크로스(0이하),22.53,48.21
302440,40300,47.08,61.53,-11.78,6.5,25.6,10.55,하락/역배열,골든크로스(0이하),24.11,48.11
036460,36500,50.94,45.87,35.8,64.4,18.57,17.41,하락/역배열,골든크로스(0이하),31.32,48.08
004360,13590,46.85,59.24,-1.17,-5.6,20.52,1.52,하락/역배열,골든크로스(0이하),38.58,48.07
122870,46850,53.33,39.97,50.44,48.2,25.92,16.55,하락/역배열,골든크로스(0이하),35.47,48.03
021240,91000,50.34,59.4,-14.74,-27.4,14.34,34.33,하락/역배열,하락추세,13.44,47.98
035720,40550,50.18,63.5,-29.61,315.6,20.32,161.95,하락/역배열,골든크로스(0이하),41.66,47.91
010120,261500,50.0,45.3,49.7,-105.4,28.71,971.9,정배열,상승(0이상),49.3,47.43
036530,51900,49.64,50.62,35.05,11.8,13.72,2.28,하락/역배열,골든크로스(0이하),35.88,46.99
007390,31000,47.78,54.22,28.99,-26.4,26.95,57.2,정배열,하락추세,13.28,46.92
018260,230000,45.09,68.84,-17.76,129.2,24.61,234.39,하락/역배열,하락추세,53.05,46.84
030530,27000,44.61,62.76,10.04,610.6,15.1,85.36,하락/역배열,골든크로스(0이하),38.7,46.71
241560,67100,48.09,47.57,57.46,135.4,31.77,66.12,하락/역배열,골든크로스(0이하),48.19,46.66
069260,17120,48.93,46.98,57.68,68.8,23.08,10.41,하락/역배열,골든크로스(0이하),39.56,46.56
139130,18000,48.54,53.62,36.0,132.7,11.73,17.97,하락/역배열,골든크로스(0이하),13.44,46.28
039030,499500,48.67,56.17,25.6,91.6,16.54,244.57,정배열,상승(0이상),26.33,46.25
048530,2775,42.17,78.28,-34.45,33.0,41.83,1.69,하락/역배열,골든크로스(0이하),84.55,46.05
003850,9460,52.58,43.22,68.07,66.3,45.74,5.74,하락/역배열,골든크로스(0이하),30.17,45.73
071050,244500,50.0,53.92,35.83,121.1,25.99,171.73,하락/역배열,골든크로스(0이하),16.15,45.71
030520,19660,50.99,63.0,-1.49,56.1,26.87,9.26,하락/역배열,골든크로스(0이하),36.47,45.46
034220,13610,47.04,81.77,-59.31,209.6,28.29,225.24,하락/역배열,하락추세,19.9,45.34
016360,124600,50.32,51.76,49.51,114.7,17.2,117.31,정배열,상승(0이상),24.03,45.18
098460,35800,48.14,63.2,14.79,1225.7,14.64,228.56,정배열,골든크로스(0이하),49.33,44.99
214450,298000,49.56,60.62,19.59,26.3,20.19,44.59,하락/역배열,골든크로스(0이하),20.84,44.97
270870,4095,52.43,43.0,80.94,4.7,56.12,0.31,하락/역배열,골든크로스(0이하),24.0,44.78
001940,24250,58.28,30.87,109.19,-0.8,20.94,0.23,하락/역배열,골든크로스(0이하),31.75,44.52
040420,5780,53.19,44.83,75.22,9.3,39.98,0.56,하락/역배열,골든크로스(0이하),10.02,44.39
009830,42450,50.23,51.28,61.89,1061.4,35.25,317.68,하락/역배열,골든크로스(0이하),22.55,44.34
357780,398500,47.98,67.46,7.42,54.2,19.87,146.45,하락/역배열,골든크로스(0이하),39.01,44.23
051500,24050,55.73,51.07,43.17,5.3,7.3,0.38,하락/역배열,골든크로스(0이하),39.97,44.14
051780,3270,50.85,75.05,-31.91,25.7,12.36,0.81,하락/역배열,골든크로스(0이하),23.98,44.03
009450,72100,50.94,46.87,81.21,12.0,32.28,9.45,정배열,상승(0이상),22.24,43.96
053210,4495,54.86,38.29,106.71,13.9,97.59,1.62,하락/역배열,골든크로스(0이하),25.35,43.39
139480,90100,53.42,58.58,33.46,68.4,28.28,39.29,하락/역배열,골든크로스(0이하),36.58,43.21
069730,5290,49.61,58.88,47.56,9.0,64.11,1.06,하락/역배열,골든크로스(0이하),42.41,43.2
079160,4765,57.83,45.73,73.84,115.5,32.71,5.86,하락/역배열,골든크로스(0이하),60.49,42.66
377300,47550,47.54,65.4,38.38,46.6,40.19,45.38,하락/역배열,골든크로스(0이하),33.84,42.49
004990,26800,57.4,52.8,52.02,-141.5,11.23,18.09,하락/역배열,골든크로스(0이하),33.18,42.27
035420,242000,60.04,59.5,18.29,251.8,19.01,1139.63,상승전환,하락추세,77.85,41.96
034730,691000,51.77,48.41,96.09,38.9,44.33,566.97,정배열,하락추세,16.23,41.93
161890,88300,53.72,60.92,40.61,47.4,58.6,102.72,정배열,골든크로스(0이하),44.39,41.74
361610,19710,52.1,61.54,45.93,54.6,23.8,13.94,하락/역배열,골든크로스(0이하),15.95,41.63
192080,70300,54.0,63.92,30.41,9.2,14.18,13.39,정배열,하락추세,17.48,41.49
045390,3395,51.25,56.11,72.67,384.2,60.75,21.23,하락/역배열,골든크로스(0이하),44.7,41.49
001740,12080,52.58,68.41,21.43,-157.8,23.57,378.27,정배열,하락추세,48.85,41.22
002380,558000,48.04,65.48,53.09,16.6,15.5,30.55,하락/역배열,골든크로스(0이하),16.24,41.07
005830,154400,60.51,47.41,76.59,43.2,18.26,73.16,하락/역배열,골든크로스(0이하),24.66,40.98
005850,73900,51.75,56.96,74.57,106.4,28.89,51.36,정배열,상승(0이상),42.42,40.88
017800,83200,57.5,49.24,82.43,71.9,12.14,41.66,하락/역배열,골든크로스(0이하),22.74,40.88
052300,1541,54.17,74.37,-4.32,-22.3,25.78,0.8,하락/역배열,골든크로스(0이하),36.82,40.85
071320,73500,59.09,47.24,85.59,4.8,17.46,1.81,하락/역배열,골든크로스(0이하),14.54,40.76
047040,25250,45.97,72.76,41.2,5931.9,65.03,3056.51,하락/역배열,골든크로스(0이하),60.15,40.33
036930,225000,49.24,63.26,66.75,-24.9,33.83,2958.0,정배열,하락추세,14.38,40.27
005930,335500,56.08,57.64,63.18,3214.6,30.05,21769.43,정배열,하락추세,23.98,40.16
373220,418500,54.36,72.98,10.18,22.9,35.12,386.76,하락/역배열,골든크로스(0이하),26.75,40.04
041440,8470,50.54,61.12,73.26,126.2,49.02,12.21,하락/역배열,골든크로스(0이하),24.48,40.01
145990,44000,55.77,60.17,56.64,3.5,31.72,1.32,하락/역배열,골든크로스(0이하),48.41,39.97
006360,30250,51.93,60.29,72.56,482.0,33.48,248.82,하락/역배열,골든크로스(0이하),25.22,39.88
000270,167400,52.15,65.26,57.38,300.4,15.41,344.93,정배열,상승(0이상),19.93,39.41
011790,143200,49.49,77.41,22.79,242.4,19.65,148.03,정배열,하락추세,17.43,39.13
010950,113100,58.28,46.67,110.61,49.4,28.0,86.37,하락/역배열,골든크로스(0이하),32.96,39.13
014680,305500,55.81,54.9,89.72,7.0,27.49,63.06,하락/역배열,상승(0이상),28.34,38.95
285130,45700,55.97,56.69,82.74,26.0,20.25,8.33,하락/역배열,골든크로스(0이하),17.89,38.88
005440,13750,54.17,62.08,70.39,89.1,32.27,9.07,하락/역배열,골든크로스(0이하),42.83,38.72
161390,68100,59.09,68.35,25.9,95.0,30.06,77.97,정배열,상승(0이상),18.53,38.69
069500,139255,56.44,54.82,91.86,7055.3,29.82,6652.54,정배열,하락추세,22.35,38.59
049720,9920,57.02,53.49,95.65,10.8,35.87,0.89,하락/역배열,골든크로스(0이하),17.9,38.53
073240,4980,56.06,49.86,115.78,-65.7,11.65,5.12,하락/역배열,골든크로스(0이하),30.56,38.38
011070,1259000,58.35,58.96,70.84,35.2,42.58,2282.0,정배열,하락추세,25.07,38.33
298040,3896000,55.53,57.22,89.63,15.0,23.23,517.39,정배열,상승(0이상),25.01,38.28
033780,188100,60.99,57.61,67.91,28.1,22.39,154.43,정배열,상승(0이상),30.07,38.14
064350,225000,58.04,45.87,136.76,154.8,31.49,463.32,하락/역배열,골든크로스(0이하),39.49,37.3
033640,37850,49.74,62.42,104.09,247.5,29.93,63.71,정배열,상승(0이상),22.7,37.27
049430,19200,53.22,59.21,105.62,7.7,15.71,0.75,하락/역배열,골든크로스(0이하),25.7,37.05
131290,252500,61.18,53.39,97.34,21.2,23.08,93.85,정배열,상승(0이상),40.25,37.03
009150,2026000,60.1,57.15,87.5,42.2,18.63,4443.08,정배열,하락추세,11.15,36.96
042660,139600,52.77,49.88,148.33,820.4,150.6,4722.83,하락/역배열,골든크로스(0이하),35.79,36.75
000660,2408000,55.89,59.67,98.76,2063.6,29.23,29051.53,정배열,하락추세,31.1,36.58
002790,24050,57.78,66.87,62.97,64.8,22.71,9.45,하락/역배열,골든크로스(0이하),47.85,36.54
005940,32850,57.87,58.72,97.78,462.5,15.67,49.17,하락/역배열,골든크로스(0이하),24.43,36.32
015760,41450,56.48,47.57,148.28,609.5,84.8,1128.29,하락/역배열,골든크로스(0이하),49.95,36.29
030200,56900,59.56,55.96,102.86,137.2,11.64,39.33,하락/역배열,골든크로스(0이하),38.93,36.26
383220,83200,63.25,53.7,97.9,30.8,22.1,25.49,정배열,상승(0이상),29.63,36.19
032640,15930,56.51,69.73,62.37,499.2,13.93,31.94,하락/역배열,골든크로스(0이하),59.38,36.06
032830,436000,61.76,55.25,106.3,43.9,26.81,459.21,정배열,하락추세,19.12,35.47
005935,219500,59.77,64.57,82.74,1406.4,32.22,2283.43,정배열,하락추세,23.41,34.99
005290,63100,52.6,68.01,100.81,576.5,107.87,977.75,정배열,상승(0이상),44.72,34.73
000810,676000,62.72,64.96,72.62,13.4,11.81,109.03,정배열,하락추세,27.62,34.72
089030,62000,57.79,69.55,74.37,1915.7,31.41,952.47,정배열,상승(0이상),39.51,34.69
060980,46650,56.19,63.1,108.76,19.9,33.24,7.11,상승전환,상승(0이상),39.31,34.51
042700,328500,49.92,69.98,106.85,506.2,55.67,3560.21,하락/역배열,골든크로스(0이하),36.58,34.46
071090,4225,63.12,55.1,115.24,217.3,361.29,75.51,하락/역배열,골든크로스(0이하),70.72,34.32
028050,54000,54.52,61.49,131.27,823.8,64.05,1154.48,정배열,상승(0이상),45.22,33.73
067310,51500,56.1,73.04,81.42,917.9,49.74,740.02,정배열,상승(0이상),49.72,33.5
051910,365000,60.9,63.13,101.83,34.0,27.07,270.23,하락/역배열,골든크로스(0이하),22.97,33.5
000240,26650,59.17,67.66,90.84,94.2,11.57,13.87,상승전환,상승(0이상),32.58,33.49
001720,190100,55.44,66.64,113.98,0.8,15.32,7.51,하락/역배열,골든크로스(0이하),34.82,33.14
081660,41550,61.06,71.93,71.21,72.4,7.41,11.6,하락/역배열,상승(0이상),20.73,33.07
079550,995000,60.75,54.16,146.88,103.6,41.77,1492.1,하락/역배열,상승(0이상),69.22,32.79
033250,4300,57.0,71.13,101.39,-3.0,127.98,1.37,하락/역배열,골든크로스(0이하),43.65,32.17
052460,3060,57.36,74.15,89.84,25.8,12.54,0.29,하락/역배열,골든크로스(0이하),35.85,32.01
001040,182700,56.74,66.78,124.36,43.2,16.98,48.48,하락/역배열,골든크로스(0이하),35.22,31.8
003490,28950,58.82,61.95,141.85,936.7,21.9,269.95,정배열,상승(0이상),57.02,31.25
041960,8670,64.79,61.76,120.42,68.6,35.34,7.19,하락/역배열,골든크로스(0이하),30.88,31.12
012750,77000,58.15,73.73,99.48,49.1,17.05,22.94,하락/역배열,상승(0이상),36.28,31.08
008770,59200,60.77,61.37,138.73,-38.9,44.1,85.63,정배열,골든크로스(0이하),28.0,31.06
050120,2965,52.42,71.27,134.36,50.5,7.88,0.3,정배열,상승(0이상),38.26,30.91
035250,15870,59.51,68.98,115.4,619.7,15.39,32.26,하락/역배열,골든크로스(0이하),27.21,30.89
084370,173900,62.63,68.89,111.34,62.3,24.88,168.39,정배열,상승(0이상),39.69,30.21
028260,479500,58.18,80.1,84.55,236.9,24.13,606.81,정배열,상승(0이상),72.24,30.19
001800,26750,57.38,73.38,115.6,98.4,15.27,13.72,정배열,상승(0이상),34.05,30.11
175330,28200,73.33,39.14,191.69,426.4,11.39,28.69,하락/역배열,상승(0이상),21.25,29.87
319660,159500,69.25,63.14,113.75,114.6,27.77,324.64,정배열,상승(0이상),42.2,29.72
001820,150000,57.81,79.92,95.02,314.0,36.78,590.27,정배열,상승(0이상),11.0,29.51
105560,169300,60.21,66.54,143.89,247.9,29.22,675.73,정배열,상승(0이상),13.9,29.09
086790,130400,60.91,52.82,198.1,185.7,13.62,170.47,정배열,상승(0이상),16.49,28.92
093370,18030,64.74,71.23,113.39,467.0,49.21,1176.59,정배열,상승(0이상),35.61,28.56
009240,35000,73.08,54.99,145.35,21.2,26.69,4.86,하락/역배열,골든크로스(0이하),50.9,28.53
316140,33250,62.75,55.71,195.43,1101.8,26.19,191.91,하락/역배열,상승(0이상),30.37,27.56
023530,199100,73.81,60.04,136.3,5.4,31.75,172.79,정배열,상승(0이상),22.14,27.36
053260,5980,52.97,85.15,125.43,198.6,451.93,107.37,하락/역배열,골든크로스(0이하),20.61,26.84
138040,115100,67.81,52.07,205.86,62.3,19.26,60.27,하락/역배열,상승(0이상),32.36,26.22
402340,1413000,61.63,72.63,153.58,479.2,109.91,14885.55,정배열,하락추세,15.86,25.78
055550,105600,60.91,77.96,136.26,327.8,23.16,379.43,정배열,상승(0이상),56.02,25.69
375500,86600,60.46,75.07,165.41,247.3,89.96,764.85,하락/역배열,골든크로스(0이하),40.54,24.37
024110,22750,74.19,49.7,218.61,1002.6,16.06,78.3,하락/역배열,상승(0이상),41.74,23.82
000815,421500,67.39,79.39,127.36,6.1,13.29,7.17,정배열,상승(0이상),19.33,23.79
000220,4080,58.39,82.03,153.04,99.2,347.58,43.33,하락/역배열,골든크로스(0이하),77.6,23.77
088350,5910,64.26,75.08,158.03,3421.7,221.84,1130.8,정배열,상승(0이상),25.33,23.72
138930,18830,66.93,56.11,225.93,733.6,21.51,59.42,하락/역배열,상승(0이상),33.97,23.49
045520,3145,64.35,76.25,156.61,48.0,17.21,0.56,하락/역배열,골든크로스(0이하),39.24,23.42
002350,7390,77.51,67.28,141.98,92.9,22.58,3.41,하락/역배열,상승(0이상),16.0,23.24
204320,73100,61.8,80.18,169.41,1151.0,40.09,864.04,상승전환,상승(0이상),16.38,21.89
029780,51400,66.67,80.69,149.75,270.4,9.23,26.65,하락/역배열,상승(0이상),32.96,21.73
004170,743000,71.79,82.53,127.84,21.2,27.69,244.0,정배열,상승(0이상),29.55,21.24
011200,22350,69.39,60.22,237.27,1093.4,70.97,346.87,하락/역배열,상승(0이상),40.27,20.36
003300,17780,67.19,67.82,217.46,8.9,35.07,1.11,하락/역배열,골든크로스(0이하),17.46,20.21
069080,12080,66.09,73.3,201.09,2.5,41.35,11.21,하락/역배열,골든크로스(0이하),23.16,20.11
001450,41950,73.79,78.25,184.57,349.7,35.63,104.54,정배열,상승(0이상),13.69,17.27
048550,1240,77.89,86.61,168.79,698.0,29.38,5.09,하락/역배열,상승(0이상),49.58,14.43
049120,2860,64.92,88.66,238.05,-53.1,330.99,23.83,하락/역배열,골든크로스(0이하),47.55,12.3
